command,version,filename,os,arch,sha256,build_time
ezcrypt,0.5.0,ezcrypt_darwin_amd64,darwin,amd64,526ca165842ead0ef04ece262d59d99ed77af682da5d4c051d2ca3edda134461,2026-04-05T19:59:48
ezcrypt,0.5.0,ezcrypt_darwin_arm64,darwin,arm64,a6619ac2f7cade179ac5fe87909d4c740ea5c3aaa8f3e3c1d4ef3f9002e16dfd,2026-04-05T19:59:49
ezcrypt,0.5.0,ezcrypt_linux_amd64,linux,amd64,48f09852fd7a5fc78bc6051d42ad97f13714101389865c39e4d53d634bfb4027,2026-04-05T19:59:47
ezcrypt,0.5.0,ezcrypt_linux_arm64,linux,arm64,e38b62848ff293340b8ea34ba718eea9b85b3f7e6c9a14e109e1f9f522303973,2026-04-05T19:59:47
ezcrypt,0.5.0,ezcrypt_windows_amd64.exe,windows,amd64,a1ca7936de6541943d2f6ced02546bbe95757fa5b4e199adffe90dc9849bacc2,2026-04-05T19:59:50
ezcrypt,0.5.0,ezcrypt_windows_arm64.exe,windows,arm64,853b5285b624fa9ce8c6f22da33289fd7cf664b8a6b1d3e6a4e199476dffc9ba,2026-04-05T19:59:51
ezlog,1.0.1,ezlog_darwin_amd64,darwin,amd64,b59ba000ecccbfab08e139004e1584b05178522f6c224e353679a812829b24af,2026-04-05T19:59:53
ezlog,1.0.1,ezlog_darwin_arm64,darwin,arm64,3ed6a2673ddbb9a77fbcc8de6ddf33cab43d3ff8721871a872ce225fefcf3ce9,2026-04-05T19:59:53
ezlog,1.0.1,ezlog_linux_amd64,linux,amd64,b0972071c0ab92b0a91d8a58a3b41250b9baf4f2a0506434d509e10a66b4816b,2026-04-05T19:59:52
ezlog,1.0.1,ezlog_linux_arm64,linux,arm64,761e9f025b006e53e538bd8cd6a14ba9ff44157e2e56b106a44f0f0babec516c,2026-04-05T19:59:52
ezlog,1.0.1,ezlog_windows_amd64.exe,windows,amd64,3b73779ef480403ee83bf6b646fb1a832f353d9b045ed9ca8a91eb9097399e8a,2026-04-05T19:59:54
ezlog,1.0.1,ezlog_windows_arm64.exe,windows,arm64,267162c3bf71e5c6003df204be83b93f2836ab5bb8edaa856f370d6445799a0c,2026-04-05T19:59:54
ezt,1.0.1,ezt_darwin_amd64,darwin,amd64,d16d9cbafe7bc8a68b770b928d219f00611104a37669a82f2817a72f201a547e,2026-04-05T19:59:56
ezt,1.0.1,ezt_darwin_arm64,darwin,arm64,5e53eda25c93f03ac6d70676fa38b02ffd0071d942ccc7d884d4ea4ff307ab10,2026-04-05T19:59:56
ezt,1.0.1,ezt_linux_amd64,linux,amd64,6106c6fb1bb287e8e8e6091f667f500d5a55f74d98d5ee2b9667f73c07a16a23,2026-04-05T19:59:55
ezt,1.0.1,ezt_linux_arm64,linux,arm64,e66047d346274b5f9261f90487bb6e70361d814cd11a5f7a27ada0fcc1e34f32,2026-04-05T19:59:55
ezt,1.0.1,ezt_windows_amd64.exe,windows,amd64,caabe28ac0af78f4215e90be34999f6f400678356813faefc8f3a67e4e637660,2026-04-05T19:59:57
ezt,1.0.1,ezt_windows_arm64.exe,windows,arm64,24bdbb5b862bfd1ee43469de59b5dfb270cef3024fcb2710a66ba29fdc956f60,2026-04-05T19:59:57
